Spine Name,V,CHR,CVD,OA,L,hMin,hMax,nMin,nMax,HNR,SA,Type
1.ply,0.109436,0.214907,0.418356,0.540052,0.799535,0.475295,0.619882,0.185369,0.323243,1.917696,0,None
2.ply,0.125261,0.150407,0.407263,0.431254,1.02869,0.421344,0.651022,0.139685,0.240489,2.707078,0,None
3.ply,0.386031,2.228033,0.427285,0.4586,2.328429,0.544714,1.365297,0.200332,0.384932,3.546848,0,None
5.ply,0.387169,1.104758,0.387687,0.425421,1.830504,0.651966,1.625403,0.219,0.305404,5.322144,0,None
7.ply,0.012356,0.555809,0.213555,1.118518,0.182241,0.358092,0.382362,0.22914,0.430889,0.887379,0,None
8.ply,0.042154,1.412694,0.498578,0.441433,0.968234,0.378483,0.440251,0.138985,0.172189,2.556794,0,None
9.ply,0.183713,0.12849,0.312279,0.823635,0.664003,0.40849,1.035481,0.415407,0.847417,1.221927,0,None
10.ply,0.141536,0.554641,0.382741,0.710273,0.942381,0.44343,0.718202,0.42558,0.628068,1.14351,0,None
11.ply,0.068133,0.233136,0.450407,0.616644,0.762609,0.255642,0.488559,0.241592,0.432138,1.130563,0,None
12.ply,0.220714,0.218627,0.230508,0.945418,0.715979,0.522414,0.987419,0.636849,0.708996,1.3927,0,None
13.ply,0.211144,1.087563,0.462974,0.364511,1.787115,0.423434,0.785835,0.107414,0.143367,5.481282,0,None
14.ply,0.360526,1.461651,0.429188,0.421006,1.475293,1.034684,1.140502,0.187482,0.244444,4.665694,0,None
15.ply,0.810637,0.563554,0.372231,0.509386,1.448358,1.10257,1.715943,0.306047,0.711917,2.410314,0,None
17.ply,0.124052,0.127732,0.410362,0.640586,0.789311,0.496965,0.581282,0.28626,0.523389,1.110612,0,None
18.ply,0.038573,0.132752,0.130322,1.092911,0.172777,0.434132,0.541154,0.460905,0.57773,0.936689,0,None
19.ply,0.470155,0.946623,0.431845,0.349323,2.123406,0.689556,1.07944,0.173932,0.360673,2.992845,0,None
20.ply,0.435277,2.002941,0.481416,0.408643,2.251111,0.617183,1.425848,0.220621,0.44651,3.193319,0,None
21.ply,0.290788,2.111591,0.43265,0.36126,2.285499,0.478393,1.620584,0.24672,0.316905,5.113778,0,None
22.ply,0.322656,0.765082,0.440123,0.362971,1.824668,0.467091,0.937291,0.233467,0.449325,2.086,0,None
24.ply,0.649349,0.322599,0.340156,0.690552,1.119411,0.933733,1.67911,0.469527,0.586954,2.860719,0,None
